row_number,uid,original_document_id,type,gpt-5.4-mini,,,,gemini-3.1-flash-lite-preview-redo,,,,gemini-3.1-flash-lite-preview,,,,claude-haiku-4-5,,,,gemini-3.1-pro-preview,,,,AI-Generated?
393,UID-0393,HHS-ONC-2026-0001-0180,real,28,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
394,UID-0394,HHS-ONC-2026-0001-0358,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
395,UID-0395,HHS-ONC-2026-0001-0289,real,78,real,1,,85,real,1,,90,real,1,,25,synthetic,0,,100,real,1,,FALSE
396,UID-0396,HHS-ONC-2026-0001-0431,real,18,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,0,synthetic,0,,FALSE
397,UID-0397,SYNTH-0020,synthetic,72,real,0,,85,real,0,,85,real,0,,85,real,0,,95,real,0,,FALSE
398,UID-0398,HHS-ONC-2026-0001-0056,real,78,real,1,,80,real,1,,80,real,1,,75,real,1,,10,synthetic,0,,FALSE
399,UID-0399,HHS-ONC-2026-0001-0301,real,78,real,1,,90,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
400,UID-0400,HHS-ONC-2026-0001-0402,real,28,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
401,UID-0401,HHS-ONC-2026-0001-0353,real,88,real,1,,95,real,1,,95,real,1,,92,real,1,,100,real,1,,FALSE
402,UID-0402,HHS-ONC-2026-0001-0151,real,78,real,1,,90,real,1,,85,real,1,,92,real,1,,100,real,1,,FALSE
403,UID-0403,HHS-ONC-2026-0001-0011,real,18,synthetic,0,,80,real,1,,80,real,1,,85,real,1,,95,real,1,,FALSE
404,UID-0404,HHS-ONC-2026-0001-0142,real,78,real,1,,95,real,1,,95,real,1,,85,real,1,,98,real,1,,FALSE
405,UID-0405,SYNTH-0007,synthetic,86,real,0,,85,real,0,,90,real,0,,92,real,0,,90,real,0,,FALSE
406,UID-0406,HHS-ONC-2026-0001-0400,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
407,UID-0407,HHS-ONC-2026-0001-0437,real,92,real,1,,85,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
408,UID-0408,HHS-ONC-2026-0001-0097,real,88,real,1,,80,real,1,,80,real,1,,92,real,1,,0,synthetic,0,,FALSE
409,UID-0409,HHS-ONC-2026-0001-0436,real,92,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,100,real,1,,FALSE
410,UID-0410,HHS-ONC-2026-0001-0399,real,92,real,1,,80,real,1,,80,real,1,,92,real,1,,0,synthetic,0,,FALSE
411,UID-0411,HHS-ONC-2026-0001-0383,real,92,real,1,,80,real,1,,90,real,1,,85,real,1,,98,real,1,,FALSE
412,UID-0412,SYNTH-0014,synthetic,86,real,0,,85,real,0,,85,real,0,,85,real,0,,95,real,0,,FALSE
413,UID-0413,HHS-ONC-2026-0001-0376,real,88,real,1,,80,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
414,UID-0414,SYNTH-0005,synthetic,86,real,0,,85,real,0,,85,real,0,,82,real,0,,90,real,0,,FALSE
415,UID-0415,HHS-ONC-2026-0001-0033,real,72,real,1,,80,real,1,,80,real,1,,75,real,1,,98,real,1,,FALSE
416,UID-0416,HHS-ONC-2026-0001-0070,real,18,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,100,real,1,,FALSE
417,UID-0417,HHS-ONC-2026-0001-0212,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,10,synthetic,0,,TRUE
418,UID-0418,HHS-ONC-2026-0001-0163,real,78,real,1,,85,real,1,,85,real,1,,75,real,1,,0,synthetic,0,,FALSE
419,UID-0419,SYNTH-0066,synthetic,82,real,0,,90,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
420,UID-0420,SYNTH-0012,synthetic,35,synthetic,1,,80,real,0,,80,real,0,,82,real,0,,95,real,0,,FALSE
421,UID-0421,HHS-ONC-2026-0001-0374,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
422,UID-0422,HHS-ONC-2026-0001-0325,real,78,real,1,,95,real,1,,95,real,1,,85,real,1,,90,real,1,,FALSE
423,UID-0423,HHS-ONC-2026-0001-0197,real,12,synthetic,0,,20,synthetic,0,,20,synthetic,0,,35,synthetic,0,,0,synthetic,0,,TRUE
424,UID-0424,HHS-ONC-2026-0001-0129,real,72,real,1,,80,real,1,,80,real,1,,75,real,1,,95,real,1,,FALSE
425,UID-0425,SYNTH-0052,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,82,real,0,,90,real,0,,FALSE
426,UID-0426,SYNTH-0054,synthetic,78,real,0,,85,real,0,,85,real,0,,78,real,0,,90,real,0,,FALSE
427,UID-0427,HHS-ONC-2026-0001-0237,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,35,synthetic,0,,95,real,1,,TRUE
428,UID-0428,HHS-ONC-2026-0001-0089,real,72,real,1,,80,real,1,,85,real,1,,25,synthetic,0,,20,synthetic,0,,FALSE
429,UID-0429,HHS-ONC-2026-0001-0199,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,80,real,1,,FALSE
430,UID-0430,HHS-ONC-2026-0001-0366,real,88,real,1,,85,real,1,,85,real,1,,75,real,1,,95,real,1,,FALSE
431,UID-0431,HHS-ONC-2026-0001-0160,real,78,real,1,,20,synthetic,0,,40,synthetic,0,,75,real,1,,20,synthetic,0,,FALSE
432,UID-0432,HHS-ONC-2026-0001-0282,real,78,real,1,,85,real,1,,90,real,1,,92,real,1,,95,real,1,,FALSE
433,UID-0433,SYNTH-0053,synthetic,78,real,0,,85,real,0,,85,real,0,,82,real,0,,100,real,0,,FALSE
434,UID-0434,HHS-ONC-2026-0001-0279,real,78,real,1,,80,real,1,,80,real,1,,75,real,1,,95,real,1,,FALSE
435,UID-0435,HHS-ONC-2026-0001-0031,real,18,synthetic,0,,40,synthetic,0,,30,synthetic,0,,72,real,1,,80,real,1,,FALSE
436,UID-0436,HHS-ONC-2026-0001-0261,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,80,real,1,,FALSE
437,UID-0437,HHS-ONC-2026-0001-0324,real,78,real,1,,80,real,1,,85,real,1,,85,real,1,,100,real,1,,FALSE
438,UID-0438,HHS-ONC-2026-0001-0426,real,35,synthetic,0,,40,synthetic,0,,40,synthetic,0,,72,real,1,,90,real,1,,FALSE
439,UID-0439,SYNTH-0074,synthetic,72,real,0,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
440,UID-0440,HHS-ONC-2026-0001-0009,real,35,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
441,UID-0441,HHS-ONC-2026-0001-0146,real,78,real,1,,85,real,1,,90,real,1,,75,real,1,,98,real,1,,FALSE
442,UID-0442,HHS-ONC-2026-0001-0339,real,78,real,1,,90,real,1,,90,real,1,,82,real,1,,95,real,1,,FALSE
443,UID-0443,HHS-ONC-2026-0001-0361,real,88,real,1,,80,real,1,,80,real,1,,92,real,1,,10,synthetic,0,,FALSE
444,UID-0444,SYNTH-0107,synthetic,78,real,0,,85,real,0,,85,real,0,,92,real,0,,20,synthetic,1,,FALSE
445,UID-0445,HHS-ONC-2026-0001-0238,real,18,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,100,real,1,,FALSE
446,UID-0446,HHS-ONC-2026-0001-0425,real,78,real,1,,80,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
447,UID-0447,SYNTH-0049,synthetic,28,synthetic,1,,85,real,0,,95,real,0,,92,real,0,,90,real,0,,FALSE
448,UID-0448,HHS-ONC-2026-0001-0115,real,72,real,1,,85,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
449,UID-0449,HHS-ONC-2026-0001-0441,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,0,synthetic,0,,TRUE
450,UID-0450,HHS-ONC-2026-0001-0075,real,35,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,95,real,1,,FALSE
451,UID-0451,HHS-ONC-2026-0001-0217,real,18,synthetic,0,,65,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
452,UID-0452,SYNTH-0101,synthetic,18,synthetic,1,,40,synthetic,1,,40,synthetic,1,,25,synthetic,1,,90,real,0,,FALSE
453,UID-0453,HHS-ONC-2026-0001-0378,real,28,synthetic,0,,85,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
454,UID-0454,HHS-ONC-2026-0001-0190,real,92,real,1,,80,real,1,,85,real,1,,75,real,1,,98,real,1,,FALSE
455,UID-0455,HHS-ONC-2026-0001-0291,real,92,real,1,,85,real,1,,80,real,1,,85,real,1,,100,real,1,,FALSE
456,UID-0456,HHS-ONC-2026-0001-0347,real,78,real,1,,85,real,1,,80,real,1,,82,real,1,,99,real,1,,FALSE
457,UID-0457,SYNTH-0022,synthetic,35,synthetic,1,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
458,UID-0458,HHS-ONC-2026-0001-0284,real,18,synthetic,0,,80,real,1,,85,real,1,,85,real,1,,95,real,1,,FALSE
459,UID-0459,HHS-ONC-2026-0001-0246,real,42,synthetic,0,,40,synthetic,0,,40,synthetic,0,,72,real,1,,80,real,1,,FALSE
460,UID-0460,SYNTH-0098,synthetic,86,real,0,,85,real,0,,85,real,0,,85,real,0,,100,real,0,,FALSE
461,UID-0461,HHS-ONC-2026-0001-0276,real,78,real,1,,90,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
462,UID-0462,SYNTH-0002,synthetic,18,synthetic,1,,20,synthetic,1,,20,synthetic,1,,25,synthetic,1,,30,synthetic,1,,FALSE
463,UID-0463,SYNTH-0050,synthetic,78,real,0,,85,real,0,,85,real,0,,85,real,0,,90,real,0,,FALSE
464,UID-0464,HHS-ONC-2026-0001-0218,real,18,synthetic,0,,80,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
465,UID-0465,HHS-ONC-2026-0001-0363,real,78,real,1,,20,synthetic,0,,20,synthetic,0,,75,real,1,,95,real,1,,FALSE
466,UID-0466,HHS-ONC-2026-0001-0003,real,18,synthetic,0,,85,real,1,,85,real,1,,82,real,1,,99,real,1,,FALSE
467,UID-0467,HHS-ONC-2026-0001-0409,real,72,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
468,UID-0468,HHS-ONC-2026-0001-0214,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,72,real,1,,10,synthetic,0,,TRUE
469,UID-0469,SYNTH-0068,synthetic,34,synthetic,1,,85,real,0,,85,real,0,,25,synthetic,1,,20,synthetic,1,,FALSE
470,UID-0470,HHS-ONC-2026-0001-0032,real,18,synthetic,0,,60,real,1,,85,real,1,,75,real,1,,90,real,1,,FALSE
471,UID-0471,HHS-ONC-2026-0001-0077,real,72,real,1,,80,real,1,,85,real,1,,85,real,1,,100,real,1,,FALSE
472,UID-0472,HHS-ONC-2026-0001-0354,real,92,real,1,,80,real,1,,80,real,1,,85,real,1,,95,real,1,,FALSE
473,UID-0473,HHS-ONC-2026-0001-0067,real,78,real,1,,85,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
474,UID-0474,HHS-ONC-2026-0001-0356,real,78,real,1,,80,real,1,,85,real,1,,75,real,1,,100,real,1,,FALSE
475,UID-0475,HHS-ONC-2026-0001-0043,real,18,synthetic,0,,80,real,1,,85,real,1,,75,real,1,,100,real,1,,FALSE
476,UID-0476,HHS-ONC-2026-0001-0136,real,78,real,1,,85,real,1,,85,real,1,,75,real,1,,90,real,1,,FALSE
477,UID-0477,HHS-ONC-2026-0001-0143,real,28,synthetic,0,,90,real,1,,85,real,1,,25,synthetic,0,,90,real,1,,FALSE
478,UID-0478,HHS-ONC-2026-0001-0128,real,18,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,10,synthetic,0,,TRUE
479,UID-0479,SYNTH-0067,synthetic,86,real,0,,90,real,0,,90,real,0,,92,real,0,,100,real,0,,FALSE
480,UID-0480,HHS-ONC-2026-0001-0316,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
481,UID-0481,HHS-ONC-2026-0001-0121,real,35,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,0,synthetic,0,,FALSE
482,UID-0482,HHS-ONC-2026-0001-0082,real,18,synthetic,0,,85,real,1,,60,real,1,,25,synthetic,0,,90,real,1,,FALSE
483,UID-0483,SYNTH-0106,synthetic,78,real,0,,90,real,0,,90,real,0,,82,real,0,,90,real,0,,FALSE
484,UID-0484,HHS-ONC-2026-0001-0045,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,20,synthetic,0,,TRUE
485,UID-0485,HHS-ONC-2026-0001-0445,real,88,real,1,,90,real,1,,90,real,1,,92,real,1,,95,real,1,,FALSE
486,UID-0486,HHS-ONC-2026-0001-0297,real,78,real,1,,80,real,1,,85,real,1,,75,real,1,,100,real,1,,FALSE
487,UID-0487,HHS-ONC-2026-0001-0087,real,28,synthetic,0,,20,synthetic,0,,30,synthetic,0,,72,real,1,,85,real,1,,FALSE
488,UID-0488,HHS-ONC-2026-0001-0277,real,85,real,1,,95,real,1,,90,real,1,,25,synthetic,0,,100,real,1,,FALSE
489,UID-0489,HHS-ONC-2026-0001-0084,real,18,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,0,synthetic,0,,FALSE
490,UID-0490,SYNTH-0100,synthetic,42,synthetic,1,,85,real,0,,85,real,0,,75,real,0,,10,synthetic,1,,FALSE
491,UID-0491,SYNTH-0043,synthetic,35,synthetic,1,,80,real,0,,80,real,0,,75,real,0,,90,real,0,,FALSE
492,UID-0492,HHS-ONC-2026-0001-0209,real,78,real,1,,85,real,1,,80,real,1,,25,synthetic,0,,100,real,1,,FALSE
493,UID-0493,HHS-ONC-2026-0001-0202,real,92,real,1,,90,real,1,,85,real,1,,85,real,1,,10,synthetic,0,,FALSE
494,UID-0494,HHS-ONC-2026-0001-0443,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,100,real,1,,TRUE
495,UID-0495,HHS-ONC-2026-0001-0348,real,72,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
496,UID-0496,SYNTH-0104,synthetic,78,real,0,,90,real,0,,95,real,0,,82,real,0,,95,real,0,,FALSE
497,UID-0497,HHS-ONC-2026-0001-0323,real,78,real,1,,90,real,1,,80,real,1,,75,real,1,,100,real,1,,FALSE
498,UID-0498,HHS-ONC-2026-0001-0174,real,78,real,1,,85,real,1,,85,real,1,,92,real,1,,100,real,1,,FALSE
499,UID-0499,HHS-ONC-2026-0001-0013,real,28,synthetic,0,,85,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
500,UID-0500,HHS-ONC-2026-0001-0229,real,18,synthetic,0,,85,real,1,,90,real,1,,25,synthetic,0,,20,synthetic,0,,TRUE
501,UID-0501,HHS-ONC-2026-0001-0379,real,78,real,1,,80,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
502,UID-0502,SYNTH-0084,synthetic,78,real,0,,85,real,0,,85,real,0,,82,real,0,,95,real,0,,FALSE
503,UID-0503,HHS-ONC-2026-0001-0200,real,18,synthetic,0,,80,real,1,,85,real,1,,85,real,1,,98,real,1,,FALSE
504,UID-0504,HHS-ONC-2026-0001-0206,real,35,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,99,real,1,,FALSE
505,UID-0505,SYNTH-0046,synthetic,28,synthetic,1,,90,real,0,,95,real,0,,92,real,0,,95,real,0,,FALSE
506,UID-0506,SYNTH-0017,synthetic,86,real,0,,90,real,0,,85,real,0,,92,real,0,,95,real,0,,FALSE
507,UID-0507,HHS-ONC-2026-0001-0111,real,72,real,1,,85,real,1,,85,real,1,,75,real,1,,100,real,1,,FALSE
508,UID-0508,SYNTH-0026,synthetic,34,synthetic,1,,40,synthetic,1,,40,synthetic,1,,35,synthetic,1,,90,real,0,,FALSE
509,UID-0509,SYNTH-0034,synthetic,35,synthetic,1,,85,real,0,,85,real,0,,78,real,0,,10,synthetic,1,,FALSE
510,UID-0510,HHS-ONC-2026-0001-0073,real,92,real,1,,80,real,1,,80,real,1,,85,real,1,,100,real,1,,FALSE
511,UID-0511,HHS-ONC-2026-0001-0025,real,18,synthetic,0,,20,synthetic,0,,10,synthetic,0,,15,synthetic,0,,0,synthetic,0,,TRUE
512,UID-0512,HHS-ONC-2026-0001-0382,real,18,synthetic,0,,80,real,1,,80,real,1,,75,real,1,,85,real,1,,FALSE
513,UID-0513,HHS-ONC-2026-0001-0252,real,92,real,1,,80,real,1,,80,real,1,,75,real,1,,99,real,1,,FALSE
514,UID-0514,HHS-ONC-2026-0001-0059,real,18,synthetic,0,,30,synthetic,0,,20,synthetic,0,,75,real,1,,90,real,1,,FALSE
515,UID-0515,HHS-ONC-2026-0001-0036,real,28,synthetic,0,,80,real,1,,85,real,1,,75,real,1,,90,real,1,,FALSE
516,UID-0516,HHS-ONC-2026-0001-0290,real,78,real,1,,85,real,1,,80,real,1,,82,real,1,,85,real,1,,FALSE
517,UID-0517,HHS-ONC-2026-0001-0240,real,18,synthetic,0,,20,synthetic,0,,85,real,1,,25,synthetic,0,,10,synthetic,0,,TRUE
518,UID-0518,HHS-ONC-2026-0001-0393,real,78,real,1,,80,real,1,,80,real,1,,75,real,1,,85,real,1,,FALSE
519,UID-0519,HHS-ONC-2026-0001-0100,real,92,real,1,,85,real,1,,80,real,1,,82,real,1,,100,real,1,,FALSE
520,UID-0520,HHS-ONC-2026-0001-0195,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,10,synthetic,0,,TRUE
521,UID-0521,SYNTH-0025,synthetic,78,real,0,,90,real,0,,90,real,0,,92,real,0,,90,real,0,,FALSE
522,UID-0522,HHS-ONC-2026-0001-0408,real,35,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,0,synthetic,0,,TRUE
523,UID-0523,HHS-ONC-2026-0001-0386,real,72,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,10,synthetic,0,,FALSE
524,UID-0524,SYNTH-0092,synthetic,34,synthetic,1,,85,real,0,,80,real,0,,75,real,0,,90,real,0,,FALSE
525,UID-0525,SYNTH-0105,synthetic,35,synthetic,1,,85,real,0,,85,real,0,,72,real,0,,95,real,0,,FALSE
526,UID-0526,HHS-ONC-2026-0001-0171,real,28,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,20,synthetic,0,,TRUE
527,UID-0527,SYNTH-0008,synthetic,35,synthetic,1,,80,real,0,,80,real,0,,35,synthetic,1,,30,synthetic,1,,FALSE
528,UID-0528,SYNTH-0096,synthetic,72,real,0,,90,real,0,,90,real,0,,85,real,0,,95,real,0,,FALSE
529,UID-0529,HHS-ONC-2026-0001-0447,real,86,real,1,,90,real,1,,90,real,1,,92,real,1,,100,real,1,,FALSE
530,UID-0530,HHS-ONC-2026-0001-0177,real,78,real,1,,90,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
531,UID-0531,SYNTH-0039,synthetic,82,real,0,,90,real,0,,90,real,0,,92,real,0,,90,real,0,,FALSE
532,UID-0532,HHS-ONC-2026-0001-0311,real,88,real,1,,90,real,1,,90,real,1,,25,synthetic,0,,20,synthetic,0,,FALSE
533,UID-0533,HHS-ONC-2026-0001-0155,real,72,real,1,,85,real,1,,85,real,1,,85,real,1,,0,synthetic,0,,FALSE
534,UID-0534,HHS-ONC-2026-0001-0205,real,72,real,1,,85,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
535,UID-0535,HHS-ONC-2026-0001-0192,real,18,synthetic,0,,20,synthetic,0,,80,real,1,,25,synthetic,0,,10,synthetic,0,,TRUE
536,UID-0536,HHS-ONC-2026-0001-0435,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,25,synthetic,0,,80,real,1,,TRUE
537,UID-0537,HHS-ONC-2026-0001-0106,real,72,real,1,,85,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
538,UID-0538,HHS-ONC-2026-0001-0318,real,72,real,1,,90,real,1,,90,real,1,,25,synthetic,0,,0,synthetic,0,,FALSE
539,UID-0539,SYNTH-0085,synthetic,58,real,0,,85,real,0,,85,real,0,,75,real,0,,95,real,0,,FALSE
540,UID-0540,SYNTH-0088,synthetic,72,real,0,,80,real,0,,80,real,0,,75,real,0,,90,real,0,,FALSE
541,UID-0541,HHS-ONC-2026-0001-0242,real,92,real,1,,80,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
542,UID-0542,HHS-ONC-2026-0001-0145,real,78,real,1,,95,real,1,,95,real,1,,75,real,1,,100,real,1,,FALSE
543,UID-0543,HHS-ONC-2026-0001-0055,real,72,real,1,,60,real,1,,80,real,1,,82,real,1,,20,synthetic,0,,FALSE
544,UID-0544,HHS-ONC-2026-0001-0038,real,72,real,1,,85,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
545,UID-0545,HHS-ONC-2026-0001-0030,real,18,synthetic,0,,20,synthetic,0,,20,synthetic,0,,35,synthetic,0,,90,real,1,,TRUE
546,UID-0546,HHS-ONC-2026-0001-0079,real,35,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,95,real,1,,FALSE
547,UID-0547,HHS-ONC-2026-0001-0369,real,78,real,1,,85,real,1,,90,real,1,,25,synthetic,0,,90,real,1,,FALSE
548,UID-0548,HHS-ONC-2026-0001-0235,real,78,real,1,,85,real,1,,80,real,1,,85,real,1,,100,real,1,,FALSE
549,UID-0549,HHS-ONC-2026-0001-0225,real,78,real,1,,90,real,1,,85,real,1,,25,synthetic,0,,100,real,1,,FALSE
550,UID-0550,HHS-ONC-2026-0001-0429,real,78,real,1,,85,real,1,,90,real,1,,82,real,1,,20,synthetic,0,,FALSE
551,UID-0551,HHS-ONC-2026-0001-0014,real,15,synthetic,0,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
552,UID-0552,HHS-ONC-2026-0001-0265,real,90,real,1,,85,real,1,,80,real,1,,85,real,1,,0,synthetic,0,,FALSE
553,UID-0553,HHS-ONC-2026-0001-0133,real,78,real,1,,85,real,1,,85,real,1,,75,real,1,,100,real,1,,FALSE
554,UID-0554,SYNTH-0019,synthetic,78,real,0,,90,real,0,,90,real,0,,85,real,0,,95,real,0,,FALSE
555,UID-0555,HHS-ONC-2026-0001-0112,real,68,real,1,,80,real,1,,80,real,1,,75,real,1,,95,real,1,,FALSE
556,UID-0556,HHS-ONC-2026-0001-0285,real,35,synthetic,0,,40,synthetic,0,,40,synthetic,0,,72,real,1,,95,real,1,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.591726619,,,,0.705035971,,,,0.705035971,,,,0.505395683,,,,0.519784173,,
